Stock Symbol,Company Name,Stock Exchange,Cpn Rate/Ann Amt,LiqPref/CallPrice,Call Date/Matur Date,Moodys/S&P Dated,Distribution Dates,15% Tax Rate,Parent Company,IPO,Total IPO Units,$ Per,Previous Ticker Symbol,Change Symbol Date,Market Value
UZE   ,United States Cellular Corp.,NYSE,5.50%$1.375 ,$25.00 $25.00 ,3/01/2026 3/01/2070  ,Ba1BB12/03/2020,3/1 - 6/1 - 9/1 & 12/1Click ,No,USM,11/30/2020,20.00 Million Notes,$25/note.,-,-,$500.0 Million
SIGIP ,Selective Insurance Group,NGS,4.60%$1.15 ,$25.00 $25.00 ,12/15/2025 None  ,Ba1BB+12/03/2020,3/15 - 6/15 - 9/15 & 12/15Cl,YES,SIGI,12/2/2020,8.00 Million Shares,$25.00/share.,SLIG,12/09/2020,$200.0 Million
WFC-A ,Wells Fargo & Co.,NYSE,4.70%$1.175 ,$25.00 $25.00 ,12/15/2025 None  ,Baa2BB+10/21/2020,3/15 - 6/15 - 9/15 & 12/15Cl,YES,WFC,10/21/2020,46.80 Million Shares,$25.00/share.,WFCCL,10/30/2020,$1.2 Billion
CFR-B ,Cullen/Frost Bankers,NYSE,4.45%$1.1125 ,$25.00 $25.00 ,12/15/2025 None  ,Baa2BBB-11/18/2020,3/15 - 6/15 - 9/15 & 12/15Cl,YES,CFR,11/12/2020,6.00 Million Shares,$25/share.,CFRBL,11/25/2020,$150.0 Million
CNO-A ,CNO Financial Group,NYSE,5.13%$1.28125 ,$25.00 $25.00 ,11/25/2025 11/25/2060  ,Ba1BB12/11/2020,2/25 - 5/25 - 8/25 & 11/25Cl,No,CNO,11/18/2020,6.00 Million Debentures,$25/deb.,-,-,$150.0 Million
BAMI  ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,NYSE,4.50%$1.125 ,$25.00 $25.00 ,11/24/2025 None  ,Baa3BBB11/27/2020,2/24 - 5/24 - 8/24 & 11/24Cl,No,BAM,-,-,-,$200.0 Million
OPP-A ,RiverNorth/DoubleLine Strategic Opportunity Fund,NYSE,4.38%$1.09375 ,$25.00 $25.00 ,11/15/2025 None  ,A1NF 10/18/2020,2/15 - 5/15 - 8/15 & 11/15Cl,Variable,OPP,10/14/2020,2.20 Million Shares,$25/share.,OPPRP,10/27/2020,$625.0 Million
ALTG-A,Alta Equipment Group Inc. Depositary Shares Series A Cumulative Preferred Stock,NYSE,10.00%$2.5 ,$25.00 $25.00 ,12/22/2025 None  ,NR NR 12/18/2020,1/31 - 4/30 - 7/31 & 10/3Cli,YES,ALTG,12/16/2020,1.19 Million Shares,$25/share.,ALEQP,1/05/2021,$29.8 Million
SJIV  ,South Jersey Industries,NYSE,8.75%$4.375 ,$50.00 $50.00 ,Not Callable 4/01/2024  ,NF NF 4/15/2021,1.9125@$26.14375+ 2.2472@$,"1/1, 4/1, 7/1 & 10/1Click ",No,SJI,3/16/2021,6.00 Million Units,$50.00/unit.,-,-,$300.0 Million
TFSA  ,Terra Income Fund 6,NYSE,7.00%$1.75 ,$25.00 $25.00 ,2/10/2023 3/31/2026  ,NR NR 2/21/2021,3/30 - 6/30 - 9/30 & 12/30Cl,No,-,2/4/2021,1.39 Million Notes,$25/note.,-,-,HOME PAGE:    https://www.terrafund6.com/
ECCW  ,Eagle Point Credit Company Inc. 6.75% Notes Due 03/31/2031,NYSE,6.75%$1.6875 ,$25.00 $25.00 ,3/29/2024 3/31/2031  ,NR NR 3/23/2021,3/31 - 6/30 - 9/30 & 12/31Cl,No,ECC,3/17/2021,1.56 Million Notes,$25/note.,-,-,$39.0 Million
AESC  ,AES Corp. (The) 6.875% Equity Units Due 02/15/2024,NYSE,6.88%$6.875 ,$100.00 $100.00 ,None 2/15/2024  ,Ba3BB3/15/2021,3.8640@25.88- n.a.,"2/15, 5/15, 8/15 & 11/15Cl",No,AES,3/3/2021,10.00 Million Units,$100.00/unit.,AESUU,3/15/2021,$1.0 Billion
BWSN  ,Babcock & Wilcox Enterprises,NYSE,8.13%$2.03125 ,$25.00 $25.00 ,2/28/2022 2/28/2026  ,NF NF 2/17/2021,1/31 - 4/30 - 7/31 & 10/31Cl,No,BW,2/9/2021,4.80 Million Notes,$25.00/note.,-,-,$120.0 Million
RILYT ,B. Riley Financial,NGM,6.00%$1.5 ,$25.00 $25.75 ,1/31/2022 1/31/2028  ,NF NF 2/02/2021,1/31 - 4/30 - 7/31 & 10/31Cl,No,RILY,1/20/2021,8.00 Million Notes,$25.00/note.,-,-,$200.0 Million
RCC   ,Ready Capital Corp.,NYSE,5.75%$1.4375 ,$25.00 $25.00 ,2/15/2023 2/15/2026  ,NR NR 3/22/2021,1/30 - 4/30 - 7/30 & 10/30Cl,No,RC,2/10/2021,7.00 Million Notes,$25.00/note.,-,-,$175.0 Million
RILYK ,B. Riley Financial,NGM,5.50%$1.375 ,$25.00 $25.00 ,AnyTime 1/31/2026  ,NF NF 4/09/2021,1/31 - 4/30 - 7/31 & 10/31Cl,No,RILY,3/23/2021,6.00 Million Notes,$25.00/note.,-,-,$150.0 Million
GAINN ,Gladstone Investment Corp. 5.00% Notes Due 5/1/2026,NGS,5.00%$1.25 ,$25.00 $25.00 ,5/03/2023 5/01/2026  ,NR NR 2/24/2021,2/1 - 5/1 - 8/1 & 11/1Click ,No,GAIN,2/24/2021,4.45 Million Notes,$25.00/note.,-,-,$111.0 Million
BAC-P ,Bank of America Corp. 4.125% Depositary Shares Non-Cumul Preferred Stock Ser PP,NYSE,4.13%$1.03125 ,$25.00 $25.00 ,2/02/2026 None  ,Baa3BBB-5/05/2021,2/2 - 5/2 - 8/2 & 11/2Click ,YES,BAC,1/21/2021,36.60 Million Shares,$25/share.,BOAPL,1/29/2021,$915.0 Million
WAFDP ,Washington Federal Dep Shares 4.875% Non-Cumulative Preferred Stock,NGM,4.88%$1.21875 ,$25.00 $25.00 ,4/15/2026 None  ,Baa3NR 2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,WAFD,2/1/2021,12.00 Million Shares,$25.00/share.,WSHAP,2/11/2021,$300.0 Million
HBANP ,Huntington Bancshares 4.50% Dep Shares Series H Non-Cumul Perp Preferred Stock,NGS,4.50%$1.125 ,$25.00 $25.00 ,4/15/2026 None  ,Baa3BB+2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,HBAN,2/2/2021,20.00 Million Shares,$25.00/share.,HBANL,2/25/2021,$500.0 Million
USB-R ,U.S. Bancorp,NYSE,4.00%$1 ,$25.00 $25.00 ,4/15/2026 None  ,A3BBB1/27/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,1/26/2021,30.00 Million Shares,$25/share.,USBML ,$750.0 Million
LANDM ,Gladstone Land Corp 5.00% Series D Cumulative Term Preferred Stock Due 1/31/2026,NGM,5.00%$1.25 ,$25.00 $25.00 ,1/31/2023 1/31/2026  ,NF NF 1/13/2021,5th day of the MonthClick ,No,LAND,1/12/2021,2.10 Million Shares,$25/share.,LANPP,1/25/2021,$52.5 Million
TDS-U ,Telephone and Data Systems 6.625% Dep Shares Ser UU Cumulative Prfd Stock,NYSE,6.63%$1.65625 ,$25.00 $25.00 ,3/31/2026 None  ,Ba3B2/24/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,TDS,2/23/2021,16.00 Million Shares,$25.00/share.,TDSUP,3/08/2021,$400.0 Million
PRIF-G,Priority Income Fund,NYSE,6.25%$1.5625 ,$25.00 $25.00 ,3/19/2023 6/30/2026  ,NR NR 3/24/2021,3/31 - 6/30 - 9/30 & 12/31Cl,Variable,-,3/15/2021,1.28 Million Shares,$25/share.,-,-,HOME PAGE:    https://www.priorityincomefund.com/
MBINN ,Merchants Bancorp,NCM,6.00%$1.5 ,$25.00 $25.00 ,4/01/2026 None  ,NR NR 3/16/2021,1/1 - 4/1 - 7/1 & 10/1Click ,YES,MBIN,3/16/2021,6.00 Million Shares,$25.00/share.,MRHBP,3/23/2021,$150.0 Million
WRB-H ,W.R. Berkley Corp. 4.125% Subordinated Debentures due 3/30/2061,NYSE,4.13%$1.03125 ,$25.00 $25.00 ,3/30/2026 3/30/2061  ,Baa2BBB-2/19/2021,3/30 - 6/30 - 9/30 & 12/30Cl,No,WRB,2/3/2021,12.00 Million Debentures,$25.00/deb.,-,-,$300.0 Million
EQH-C ,Equitable Holdings 4.30% Dep Share Fix Rate Non-Cumul Perp Prfd Stock Ser C,NYSE,4.30%$1.075 ,$25.00 $25.00 ,3/15/2026 None  ,Ba1BBB-1/05/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,EQH,1/5/2021,12.00 Million Shares,$25/share.,EQHIL,1/13/2021,$300.0 Million
FTAI-C,Fortress Transportation & Infrastructure Investors,NYSE,Reset Rate $2.0625 ,$25.00 $25.00 ,6/15/2026 None  ,NR NR 3/18/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,FTAI,3/18/2021,4.00 Million Shares,$25.00/share.,FTIIP,3/30/2021,$100.0 Million
TCBIO ,Texas Capital Bancshares 5.75% Dep Shares Non-Cumulative Perp Prfd Stock,NGS,5.75%$1.4375 ,$25.00 $25.00 ,6/15/2026 None  ,Ba2B+2/25/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,TCBI,2/24/2021,12.00 Million Shares,$25.00/share.,TCBLL,3/26/2021,$300.0 Million
BIP-B ,Brookfield Infrastructure Partners LP Cl A Prfd Ltd Partnership Units Ser 14,NYSE,5.00%$1.25 ,$25.00 $25.00 ,2/16/2026 None  ,NF BBB-1/14/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,BIP,1/13/2021,8.00 Million Units,$26/unit.,BIPFF,1/26/2021,$200.0 Million
PRE-J ,PartnerRe Ltd.  4.875% Non-Cumulative Redeemable Preferred Shares,NYSE,4.88%$1.21875 ,$25.00 $25.00 ,3/15/2026 None  ,Baa2BBB4/04/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,PRE*,3/9/2021,8.00 Million Shares,$25/share.,PTNPF,3/19/2021,$200.0 Million
WFC-C ,Wells Fargo & Co.,NYSE,4.38%$1.09375 ,$25.00 $25.00 ,3/15/2026 None  ,Baa2BB+1/25/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,WFC,1/25/2021,40.00 Million Shares,$25.00/share.,FRGOL,2/03/2021,$1.0 Billion
SCHW-J,Charles Schwab Corp.,NYSE,4.45%$1.1125 ,$25.00 $25.00 ,6/01/2026 None  ,Baa2BBB3/23/2021,3/1 - 6/1 - 9/1 & 12/1Click ,YES,SCHW,3/23/2021,24.00 Million Shares,$25.00/share.,SCHWL,4/05/2021,$600.0 Million
GLP-B ,Global Partners,NYSE,9.50%$2.375 ,$25.00 $25.00 ,5/15/2026 None  ,NR NR 3/18/2021,2/15 - 5/15 - 8/15 & 11/15Cl,No,GLP,3/17/2021,3.00 Million Units,$25/unit.,GLPRP,3/25/2021,$75.0 Million
JPM-K ,JPMorgan Chase & Co.,NYSE,4.55%$1.1375 ,$25.00 $25.00 ,6/01/2026 None  ,Baa2BBB-3/18/2021,3/1 - 6/1 - 9/1 & 12/1Click ,YES,JPM,3/10/2021,60.00 Million Shares,$25.00/share.,JPMJL,3/23/2021,$1.5 Billion
FRC-L ,First Republic Bank,NYSE,4.25%$1.0625 ,$25.00 $25.00 ,3/30/2026 None  ,Baa3BBB-1/29/2021,1/30 - 4/30 - 7/30 & 10/30Cl,YES,FRC,1/28/2021,26.00 Million Shares,$25.00/share.,FRCLP,2/11/2021,$650.0 Million
NEWTZ ,Newtek Business Services Corp. 5.50% Notes due 2/1/2026,NGM,5.50%$1.375 ,$25.00 $25.00 ,2/01/2022 2/01/2026  ,NR NR 1/29/2021,2/1 - 5/1 - 8/1 & 11/1Click ,No,NEWT,1/14/2021,4.00 Million Notes,$25/note.,-,-,$100.0 Million
SRCU  ,Spire Inc 7.50% Corporate Unit Due 03/01/2024,OTOTCnOTOTCps,7.50%$3.75 ,$50.00 $50.00 ,Not Callable 3/01/2024  ,NR NR 4/05/2021,0.6354@$78.6906+ 0.7783@$6,"3/1, 6/1, 9/1 & 12/1Click ",No,SR,2/9/2021,3.00 Million Units,$50/unit.,-,-,$150.0 Million
OCCIO ,OFS Credit Company,NCM,6.13%$1.53125 ,$25.00 $25.00 ,4/30/2023 4/30/2026  ,NF NF 4/22/2021,MonthlyClick for MW ExDiv ,Variable,OCCI,4/21/2021,"800,000 Shares",$25.00/share.,OCCPP,4/29/2021,$20.0 Million
BEPH  ,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,NYSE,4.63%$1.15625 ,$25.00 $25.00 ,4/30/2026 None  ,NF BBB-4/19/2021,1/30 - 4/30 - 7/30 & 10/31Cl,No,BEP,4/12/2021,14.00 Million Notes,$25/note.,-,-,$350.0 Million
LFT-A ,Lument Finance Trust,NYSE,7.88%$1.96875 ,$25.00 $25.00 ,5/05/2026 None  ,NF NF 4/29/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,LFT,4/29/2021,2.40 Million Shares,$25/share.,LFTPP,5/10/2021,$60.0 Million
FHN-F ,First Horizon Corp 4.70% Dep Shares Non-Cumulative Preferred Stock,NYSE,4.70%$1.175 ,$25.00 $25.00 ,7/10/2026 None  ,Ba2BB-4/29/2021,1/10 - 4/10 - 7/10 & 10/10Cl,YES,FHN,4/28/2021,6.00 Million Shares,$25/share.,FHNNP,5/13/2021,$150.0 Million
SHO-H ,Sunstone Hotel Investors,NYSE,6.13%$1.53125 ,$25.00 $25.00 ,5/24/2026 None  ,NR NF 5/11/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,SHO,5/11/2021,4.00 Million Shares,$25/share.,SNTHP,5/26/2021,$100.0 Million
ACP-A ,Aberdeen Income Credit Strategies Fund 5.250% Series A Preferred Shares,NYSE,5.25%$1.3125 ,$25.00 $25.00 ,6/30/2026 None  ,A2NF 5/03/2021,3/31 - 6/30 - 9/30 & 12/31Cl,Variable,ACP,5/3/2021,1.60 Million Shares,$25/share.,ACPPP,5/17/2021,$40.0 Million
BW-A  ,Babcock & Wilcox Enterprises,NYSE,7.75%$1.9375 ,$25.00 $25.00 ,5/07/2026 None  ,NF NF 5/05/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,BW,5/3/2021,4.00 Million Shares,$25.00/share.,BWCXP,5/13/2021,$100.0 Million
KREF-A,KKR Real Estate Finance Trust Inc. 6.50% Series A Cumulative Red Prfd Stock,NYSE,6.50%$1.625 ,$25.00 $25.00 ,4/16/2026 None  ,NR NR 4/12/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,KREF,4/9/2021,6.00 Million Shares,$25/share.,KREFP,4/26/2021,$150.0 Million
TGH-A ,Textainer Group Holdings Ltd Series A Cumulative Perpetual Preference Shares,NYSE,Reset Rate $1.75 ,$25.00 $25.00 ,6/15/2026 None  ,NR NR 4/07/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,TGH,4/6/2021,6.00 Million Shares,$25.00/share.,TGHLF,4/19/2021,$150.0 Million
FGBIP ,First Guaranty Bancshares,NGM,6.75%$1.6875 ,$25.00 $25.00 ,4/22/2026 None  ,NF NF 4/22/2021,3/1 - 6/1 - 9/1 & 12/1Click ,YES,FGBI,4/21/2021,1.20 Million Shares,$25.00/share.,FGBIL,5/03/2021,$30.0 Million
PRIF-H,Priority Income Fund,NYSE,6.00%$1.5 ,$25.00 $25.00 ,5/06/2023 12/31/2026  ,NR NR 5/07/2021,3/31 - 6/30 - 9/30 & 12/31Cl,Variable,-,5/3/2021,1.04 Million Shares,$25.00/share.,PRIFH,5/11/2021,HOME PAGE:    https://www.priorityincomefund.com/
PEB-G ,Pebblebrook Hotel Trust  6.375% Series G Cumulative Redeemable Preferred Shares,NYSE,6.38%$1.59375 ,$25.00 $25.00 ,5/13/2026 None  ,NF NF 5/07/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,PEB,5/6/2021,8.00 Million Shares,$25/share.,PEBHP,5/14/2021,$200.0 Million
JPM-L ,JPMorgan Chase & Co.,NYSE,4.63%$1.15625 ,$25.00 $25.00 ,6/01/2026 None  ,Baa2BBB-5/14/2021,3/1 - 6/1 - 9/1 & 12/1Click ,YES,JPM,5/13/2021,74.00 Million Shares,$25.00/share.,JPMLP,5/25/2021,$1.9 Billion
POWWP ,AMMO,NCM,8.75%$2.1875 ,$25.00 $25.00 ,5/18/2026 None  ,NF NF 5/21/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,POWW,5/21/2021,1.09 Million Shares,$25.00/share.,-,-,$27.2 Million
ABR-D ,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock,NYSE,6.38%$1.59375 ,$25.00 $25.00 ,6/02/2026 None  ,NF NF 5/25/2021,1/30 - 4/30 - 7/30 & 10/30Cl,No,ABR,5/25/2021,8.00 Million Shares,$25.00/share.,ABRRP,6/07/2021,$200.0 Million
HBANP ,Huntington Bancshares 4.50% Dep Shares Series H Non-Cumul Perp Preferred Stock,NGS,4.50%$1.125 ,$25.00 $25.00 ,4/15/2026 None  ,Baa3BB+2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,HBAN,2/2/2021,20.00 Million Shares,$25.00/share.,HBANL,2/25/2021,$500.0 Million
WAFDP ,Washington Federal Dep Shares 4.875% Non-Cumulative Preferred Stock,NGM,4.88%$1.21875 ,$25.00 $25.00 ,4/15/2026 None  ,Baa3NR 2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,WAFD,2/1/2021,12.00 Million Shares,$25.00/share.,WSHAP,2/11/2021,$300.0 Million
LANDM ,Gladstone Land Corp 5.00% Series D Cumulative Term Preferred Stock Due 1/31/2026,NGM,5.00%$1.25 ,$25.00 $25.00 ,1/31/2023 1/31/2026  ,NF NF 1/13/2021,5th day of the MonthClick ,No,LAND,1/12/2021,2.10 Million Shares,$25/share.,LANPP,1/25/2021,$52.5 Million
MBINN ,Merchants Bancorp,NCM,6.00%$1.5 ,$25.00 $25.00 ,4/01/2026 None  ,NR NR 3/16/2021,1/1 - 4/1 - 7/1 & 10/1Click ,YES,MBIN,3/16/2021,6.00 Million Shares,$25.00/share.,MRHBP,3/23/2021,$150.0 Million
PRIF-G,Priority Income Fund,NYSE,6.25%$1.5625 ,$25.00 $25.00 ,3/19/2023 6/30/2026  ,NR NR 3/24/2021,3/31 - 6/30 - 9/30 & 12/31Cl,Variable,-,3/15/2021,1.28 Million Shares,$25/share.,-,-,HOME PAGE:    https://www.priorityincomefund.com/
TDS-U ,Telephone and Data Systems 6.625% Dep Shares Ser UU Cumulative Prfd Stock,NYSE,6.63%$1.65625 ,$25.00 $25.00 ,3/31/2026 None  ,Ba3B2/24/2021,3/31 - 6/30 - 9/30 & 12/31Cl,YES,TDS,2/23/2021,16.00 Million Shares,$25.00/share.,TDSUP,3/08/2021,$400.0 Million
EQH-C ,Equitable Holdings 4.30% Dep Share Fix Rate Non-Cumul Perp Prfd Stock Ser C,NYSE,4.30%$1.075 ,$25.00 $25.00 ,3/15/2026 None  ,Ba1BBB-1/05/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,EQH,1/5/2021,12.00 Million Shares,$25/share.,EQHIL,1/13/2021,$300.0 Million
FTAI-C,Fortress Transportation & Infrastructure Investors,NYSE,Reset Rate $2.0625 ,$25.00 $25.00 ,6/15/2026 None  ,NR NR 3/18/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,FTAI,3/18/2021,4.00 Million Shares,$25.00/share.,FTIIP,3/30/2021,$100.0 Million
TCBIO ,Texas Capital Bancshares 5.75% Dep Shares Non-Cumulative Perp Prfd Stock,NGS,5.75%$1.4375 ,$25.00 $25.00 ,6/15/2026 None  ,Ba2B+2/25/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,TCBI,2/24/2021,12.00 Million Shares,$25.00/share.,TCBLL,3/26/2021,$300.0 Million
BIP-B ,Brookfield Infrastructure Partners LP Cl A Prfd Ltd Partnership Units Ser 14,NYSE,5.00%$1.25 ,$25.00 $25.00 ,2/16/2026 None  ,NF BBB-1/14/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,BIP,1/13/2021,8.00 Million Units,$26/unit.,BIPFF,1/26/2021,$200.0 Million
PRE-J ,PartnerRe Ltd.  4.875% Non-Cumulative Redeemable Preferred Shares,NYSE,4.88%$1.21875 ,$25.00 $25.00 ,3/15/2026 None  ,Baa2BBB4/04/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,PRE*,3/9/2021,8.00 Million Shares,$25/share.,PTNPF,3/19/2021,$200.0 Million
WFC-C ,Wells Fargo & Co.,NYSE,4.38%$1.09375 ,$25.00 $25.00 ,3/15/2026 None  ,Baa2BB+1/25/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,WFC,1/25/2021,40.00 Million Shares,$25.00/share.,FRGOL,2/03/2021,$1.0 Billion
SCHW-J,Charles Schwab Corp.,NYSE,4.45%$1.1125 ,$25.00 $25.00 ,6/01/2026 None  ,Baa2BBB3/23/2021,3/1 - 6/1 - 9/1 & 12/1Click ,YES,SCHW,3/23/2021,24.00 Million Shares,$25.00/share.,SCHWL,4/05/2021,$600.0 Million
GLP-B ,Global Partners,NYSE,9.50%$2.375 ,$25.00 $25.00 ,5/15/2026 None  ,NR NR 3/18/2021,2/15 - 5/15 - 8/15 & 11/15Cl,No,GLP,3/17/2021,3.00 Million Units,$25/unit.,GLPRP,3/25/2021,$75.0 Million
JPM-K ,JPMorgan Chase & Co.,NYSE,4.55%$1.1375 ,$25.00 $25.00 ,6/01/2026 None  ,Baa2BBB-3/18/2021,3/1 - 6/1 - 9/1 & 12/1Click ,YES,JPM,3/10/2021,60.00 Million Shares,$25.00/share.,JPMJL,3/23/2021,$1.5 Billion
FRC-L ,First Republic Bank,NYSE,4.25%$1.0625 ,$25.00 $25.00 ,3/30/2026 None  ,Baa3BBB-1/29/2021,1/30 - 4/30 - 7/30 & 10/30Cl,YES,FRC,1/28/2021,26.00 Million Shares,$25.00/share.,FRCLP,2/11/2021,$650.0 Million
BAC-P ,Bank of America Corp. 4.125% Depositary Shares Non-Cumul Preferred Stock Ser PP,NYSE,4.13%$1.03125 ,$25.00 $25.00 ,2/02/2026 None  ,Baa3BBB-5/05/2021,2/2 - 5/2 - 8/2 & 11/2Click ,YES,BAC,1/21/2021,36.60 Million Shares,$25/share.,BOAPL,1/29/2021,$915.0 Million
AFINO ,American Finance Trust,NGS,7.38%$1.84375 ,$25.00 $25.00 ,12/18/2025 None  ,NR NR 12/15/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,AFIN,12/14/2020,3.20 Million Shares,$25/share.,-,-,$80.0 Million
USB-R ,U.S. Bancorp,NYSE,4.00%$1 ,$25.00 $25.00 ,4/15/2026 None  ,A3BBB1/27/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,1/26/2021,30.00 Million Shares,$25/share.,USBML ,$750.0 Million
XFLT-A,XAI Octagon Float Rate & Alternative Income Term Trust Series 2026 Term Prfd,NYSE,6.50%$1.625 ,$25.00 $25.00 ,3/31/2023 3/31/2026  ,NF NF 3/25/2021,1/31 - 4/30 - 7/31 & 10/31Cl,Variable,XFLT,3/24/2021,1.04 Million Shares,$25.00/share.,-,-,$26.0 Million
XOMAO ,XOMA Corp 8.375% Depositary Shares Series B Cumulative Perpetual Preferred Stock,NGM,8.38%$2.09375 ,$25.00 $26.00 ,4/15/2022 None  ,NR NR 4/12/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,XOMA,4/5/2021,1.40 Million Shares,$25.00/share.,-,-,$35.0 Million
GECCM ,Great Elm Capital Corp.,NGM,6.75%$1.69  ,$25.00 $25.00 ,1/31/2021 1/31/2025  ,NF NF 11/20/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,GECC,1/11/2018,1.72 Million Notes,$25.00/note.,-,-,$42.0 Million
ACGLP ,Arch Capital Group Ltd,NGS,5.25%$1.31  ,$25.00 $25.00 ,9/29/2021 None  ,Baa3BBB11/20/2020,3/31 - 6/30 - 9/30 & 12/31Cl,YES,ACGL,9/22/2016,18.00 Million Shares,$25.00/share.,ARHPF,10/03/2016,$450.0 Million
